ID,Nom du producteur,Pays,Continent,Région / Ville,Type de producteur,Produits principaux,Bio,Équitable,Certification,Site internet,Email,Téléphone,WhatsApp,LinkedIn,Instagram,Facebook,Contact / Responsable,Adresse,Source,Notes
ETH-00001,ALG Boerdery (Pty) Ltd,Afrique du Sud,Afrique,Citrusdal,Plantation / exploitation (main-d'œuvre salariée),"Fruits frais, Fruit juices",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Karnemelksvlei, PO Box 8, 7340, Citrusdal, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 2782 — statut certification : Certified — organisme : FLOCERT
ETH-00002,Alweda Boerdery,Afrique du Sud,Afrique,Rawsonville,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 166, 6845, Rawsonville, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 27652 — statut certification : Certified — organisme : FLOCERT
ETH-00003,Bosman Adama (Pty) Ltd (JC Bosman Boerdery),Afrique du Sud,Afrique,Wellington,Plantation / exploitation (main-d'œuvre salariée),"Pulp, Raisin de cuve",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 17, Leilienfontein farm, 7655, Wellington, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 18021 — statut certification : Certified — organisme : FLOCERT
ETH-00004,Bussell Boerdery (Pty) Ltd,Afrique du Sud,Afrique,Montagu,Plantation / exploitation (main-d'œuvre salariée),Fruits frais,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 125, 6720, Montagu, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 38432 — statut certification : Certified — organisme : FLOCERT
ETH-00005,CJ Briers-Louw (Pty) Ltd (Eenzaamheid),Afrique du Sud,Afrique,Klapmuts,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 22, 7625, Klapmuts, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 32362 — statut certification : Certified — organisme : FLOCERT
ETH-00006,Capespan Farms Holdings (Pty) Ltd,Afrique du Sud,Afrique,Kakamas,Plantation / exploitation (main-d'œuvre salariée),Fruits frais,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"1 Avenue Nr 8, Groot Gariep, 8870, Kakamas, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 39482 — statut certification : Certified — organisme : FLOCERT
ETH-00007,De Hoop Viljoen Boerdery (Pty) Ltd,Afrique du Sud,Afrique,Malmesbury,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 109, 7299, Malmesbury, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 40731 — statut certification : Certified — organisme : FLOCERT
ETH-00008,Du Toitskloof Cooperative,Afrique du Sud,Afrique,Rawsonville,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 55, 6845, Rawsonville, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 3980 — statut certification : Certified — organisme : FLOCERT
ETH-00009,Hexwal Boerdery (Pty) Ltd (Pierre v/d Merwe Boerdery (old name)),Afrique du Sud,Afrique,Rawsonville,Plantation / exploitation (main-d'œuvre salariée),"Fruits frais, Raisin de cuve",À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"PO Box 71, 6845, Rawsonville, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 18518 — statut certification : Certified — organisme : FLOCERT
ETH-00010,Journeys End Brands (Pty) Ltd,Afrique du Sud,Afrique,Somerset West,Plantation / exploitation (main-d'œuvre salariée),Raisin de cuve,À vérifier,Oui,Fairtrade International / FLOCERT — Producer - Hired Labour ; Trader,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,Non trouvé,"Box 3040, 7129, Somerset West, South Africa",Fairtrade Finder / FLOCERT (API officielle assurance-ix) — https://www.fairtrade.net/en/fairtrade-finder.html,FLO-ID 34711 — statut certification : Certified — organisme : FLOCERT
